日期,車站代號,進站人數,離站人數
2022/6/17,900,6591,6499
2022/6/18,900,7738,7714
2022/6/19,900,7011,6662
2022/6/20,900,5249,5030
2022/6/21,900,5110,4940
2022/6/22,900,5232,5041
2022/6/23,900,5280,4966
2022/6/24,900,5949,5666
2022/6/25,900,5022,4910
2022/6/26,900,5019,4761
2022/6/27,900,5401,5247
2022/6/28,900,5611,5415
2022/6/29,900,5614,5377
2022/6/30,900,5984,5729
2022/7/1,900,6321,5993
2022/7/2,900,5173,5205
2022/7/3,900,4769,4623
2022/7/4,900,5520,5289
2022/7/5,900,5586,5515
2022/7/6,900,5929,5617
2022/7/7,900,5793,5383
2022/7/8,900,6365,6306
2022/7/9,900,6184,6034
2022/7/10,900,5770,5384
2022/7/11,900,6044,5710
2022/7/12,900,5742,5469
2022/7/13,900,6086,5788
2022/7/14,900,6020,5634
2022/7/15,900,7000,6558
2022/7/16,900,6649,6505
2022/7/17,900,6200,5700
2022/7/18,900,6177,5881
2022/7/19,900,5934,5612
2022/7/20,900,6059,5814
2022/7/21,900,6166,5763
2022/7/22,900,6844,6473
2022/7/23,900,6409,6479
2022/7/24,900,6181,5848
2022/7/25,900,5884,5582
2022/7/26,900,5862,5484
2022/7/27,900,6265,5772
2022/7/28,900,6094,5704
2022/7/29,900,6978,6332
2022/7/30,900,6203,6087
2022/7/31,900,5984,5351
2022/8/1,900,5929,5441
2022/8/2,900,5769,5162
2022/8/3,900,6111,5665
2022/8/4,900,6252,5915
2022/8/5,900,6896,6605
2022/8/6,900,6729,6722
2022/8/7,900,6393,5738
2022/8/8,900,6400,6074
2022/8/9,900,6550,6041
2022/8/10,900,6528,6054
2022/8/11,900,7957,7610
2022/8/12,900,6953,6548
2022/8/13,900,7340,6931
2022/8/14,900,6735,6301
2022/8/15,900,6466,5963
2022/8/16,900,6710,6271
2022/8/17,900,6600,6256
2022/8/18,900,6399,6257
2022/8/19,900,7479,6879
2022/8/20,900,7560,7522
2022/8/21,900,6935,6373
2022/8/22,900,6716,6309
2022/8/23,900,6584,6332
2022/8/24,900,6584,6273
2022/8/25,900,6402,6033
2022/8/26,900,7410,6924
2022/8/27,900,7099,6815
2022/8/28,900,6458,5918
2022/8/29,900,6262,5916
2022/8/30,900,6511,6172
2022/8/31,900,6564,6240
2022/9/1,900,6097,5788
2022/9/2,900,5807,5698
2022/9/3,900,3666,3704
2022/9/4,900,3729,3500
2022/9/5,900,6432,6361
2022/9/6,900,6416,6109
2022/9/7,900,7244,6472
2022/9/8,900,7584,7380
2022/9/9,900,8003,7755
2022/9/10,900,7236,6524
