日期,進站人數,離站人數
20190529,12650,12682
20190530,13207,13416
20190531,16549,18906
20190601,19762,19034
20190602,20215,18725
20190603,14816,13932
20190604,12949,13015
20190605,14168,14251
20190606,20076,21259
20190607,21521,20746
20190608,20156,20312
20190609,24422,24042
20190610,16041,15706
20190611,12728,12811
20190612,13123,13090
20190613,13626,13721
20190614,17017,18574
20190615,20345,20813
20190616,21697,20332
20190617,15454,15033
20190618,14150,14186
20190619,14112,14236
20190620,14100,14480
20190621,17981,20129
20190622,20047,19373
20190623,19166,18353
20190624,15736,15806
20190625,14634,14897
20190626,14765,15010
20190627,15344,15482
20190628,19531,19773
20190629,19192,18778
20190630,19895,19776
20190701,16465,16267
20190702,14509,14439
20190703,14357,14310
20190704,15324,15820
20190705,18945,19417
20190706,20890,21567
20190707,22706,21932
20190708,17168,16822
20190709,15262,15626
20190710,15705,15811
20190711,15696,15180
20190712,19691,20257
20190713,20943,21527
20190714,22952,22167
20190715,17478,17542
20190716,16141,16361
20190717,16119,16347
20190718,14427,14218
20190719,16981,17681
20190720,17130,16731
20190721,19484,19718
20190722,16755,16964
20190723,15753,15980
20190724,15943,16200
20190725,16600,16688
20190726,19754,20804
20190727,20879,20647
20190728,21482,21654
20190729,17472,17570
20190730,15748,15848
20190731,15858,16035
20190801,14644,14880
20190802,17584,17869
20190803,18777,18101
20190804,19822,20424
20190805,15886,15860
20190806,15549,15633
20190807,16477,16410
20190808,15000,14960
20190809,18546,18972
20190810,19613,19775
20190811,22527,21958
20190812,17610,17335
20190813,13798,13885
20190814,15991,15989
20190815,15020,15141
20190816,19291,19881
20190817,18806,18939
20190818,20163,19927
20190819,16481,16105
20190820,15761,15533
20190821,16343,15887
20190822,16740,16813
20190823,20514,20970
20190824,6540,7219
20190825,20287,20695
20190826,17529,16292
20190827,16198,16346
20190828,16166,15786
20190829,14634,14619
20190830,16784,17535
20190831,19456,19208
20190901,19385,18857
20190902,14765,14840
20190903,14968,14727
20190904,13778,13851
20190905,14990,14556
20190906,18015,18713
20190907,19231,18942
20190908,21348,20650
20190909,14739,14471
20190910,13703,13753
20190911,14144,14274
20190912,21005,21454
20190913,22270,20488
20190914,19651,19826
20190915,23982,24640
20190916,15960,15365
20190917,13595,13690
20190918,13709,13577
20190919,14231,14172
20190920,17877,19526
20190921,19654,19699
20190922,21079,20190
20190923,14843,14384
20190924,13232,13405
20190925,13745,13722
20190926,13802,13967
20190927,19333,20547
20190928,20386,19963
20190929,21397,20021
20190930,14537,14330
20191001,12577,12748
20191002,13050,13316
20191003,13452,13478
20191004,14898,15611
20191005,16083,17334
20191006,19807,18632
20191007,14618,14595
20191008,13813,13982
20191009,20150,21897
20191010,28426,28828
20191011,24764,24839
20191012,24146,23996
20191013,24150,23681
20191014,15993,15214
20191015,13539,13389
20191016,13569,13694
20191017,13953,14199
20191018,18310,20012
20191019,21687,21438
20191020,24213,22774
20191021,15266,14275
20191022,13317,13338
20191023,13303,13449
20191024,13889,14239
20191025,18855,19873
20191026,20897,20233
20191027,21924,20949
20191028,14546,14496
20191029,13209,13490
20191030,13054,13000
20191031,13130,13423
20191101,17545,18574
20191102,19249,18766
20191103,20074,19019
20191104,14227,14150
20191105,12951,13121
20191106,13264,13170
20191107,13751,13922
20191108,18805,20495
20191109,21020,20198
20191110,22894,21622
20191111,15162,15161
20191112,13653,13566
20191113,13517,13716
20191114,13967,14174
20191115,18868,20527
20191116,20802,20182
20191117,22914,22034
20191118,15444,14970
20191119,13755,13628
20191120,13544,13551
20191121,13934,14265
20191122,18718,20427
20191123,22094,22905
20191124,24696,22328
20191125,15615,14867
20191126,13414,13787
20191127,13243,13575
20191128,14089,14506
20191129,18859,20285
20191130,21087,20750
20191201,22641,21373
20191202,14874,14645
20191203,13312,13033
20191204,13017,13171
20191205,13422,13853
20191206,17907,19242
20191207,20917,20687
20191208,22484,21321
20191209,15252,14803
20191210,13450,13573
