日期,進站人數,離站人數
20190524,9154,8639
20190525,9582,9320
20190526,8969,8251
20190527,7158,6849
20190528,6877,6575
20190529,7705,7016
20190530,7641,7059
20190531,8965,8134
20190601,9460,8767
20190602,7954,7681
20190603,7627,6923
20190604,8600,7733
20190605,7883,7368
20190606,9424,8200
20190607,8708,8480
20190608,11321,9884
20190609,9861,8664
20190610,7617,7257
20190611,6681,6036
20190612,7452,7221
20190613,6754,6179
20190614,8499,8672
20190615,9587,9417
20190616,8747,8161
20190617,8553,7818
20190618,7528,7070
20190619,7980,7402
20190620,8547,8053
20190621,9234,8426
20190622,9916,8092
20190623,6964,5593
20190624,7313,5888
20190625,8652,7008
20190626,7981,6681
20190627,7704,6289
20190628,9558,8188
20190629,13321,10604
20190630,9065,7128
20190701,7940,6558
20190702,8314,6519
20190703,7894,6089
20190704,7807,6233
20190705,10028,8497
20190706,9863,8525
20190707,8630,7352
20190708,9761,8446
20190709,8310,6478
20190710,8164,6916
20190711,9902,7719
20190712,8873,7916
20190713,9470,7926
20190714,8950,7396
20190715,8082,6926
20190716,8675,6580
20190717,8135,6276
20190718,6621,5704
20190719,8280,7164
20190720,8080,7433
20190721,8986,7476
20190722,7515,6647
20190723,7684,6509
20190724,9010,7420
20190725,7621,6692
20190726,8710,7785
20190727,9058,8020
20190728,9051,7152
20190729,8389,7277
20190730,8059,6632
20190731,8789,7201
20190801,7848,6816
20190802,8862,7432
20190803,8490,7887
20190804,8979,7783
20190805,7942,6609
20190806,8130,6433
20190807,8666,6908
20190808,6494,4909
20190809,3435,3223
20190810,7871,7164
20190811,9123,7459
20190812,8217,6696
20190813,8127,6764
20190814,11244,9058
20190815,8278,6401
20190816,9186,8017
20190817,9395,7764
20190818,8589,6455
20190819,8171,6995
20190820,8035,6525
20190821,8435,7331
20190822,8124,6754
20190823,9270,7542
20190824,6325,5800
20190825,8472,7431
20190826,8702,6764
20190827,8534,6941
20190828,8631,7384
20190829,7597,6363
20190830,7996,6781
20190831,9144,7822
20190901,9021,7273
20190902,7778,6758
20190903,7291,5640
20190904,7904,6245
20190905,7235,5808
20190906,8463,7576
20190907,8929,7519
20190908,8889,7674
20190909,7693,6555
20190910,7777,6499
20190911,8318,7160
20190912,10100,8104
20190913,9388,8407
20190914,9926,8378
20190915,8477,7679
20190916,7602,6515
20190917,7351,6066
20190918,7903,6444
20190919,7742,6201
20190920,8863,7163
20190921,6893,6189
20190922,8619,7487
20190923,7994,7043
20190924,7614,6278
20190925,8746,6681
20190926,7415,6172
20190927,9121,7483
20190928,11442,10336
20190929,7638,6213
20190930,2672,2903
20191001,7038,5999
20191002,7594,6528
20191003,7863,6373
20191004,9115,7436
20191005,9032,7534
20191006,8299,7110
20191007,7940,6407
20191008,7549,6045
20191009,10756,8073
20191010,13967,10021
20191011,15010,12394
20191012,12738,10178
20191013,10263,8390
20191014,7923,6818
20191015,7523,6670
20191016,7481,6235
20191017,7803,6700
20191018,9080,7720
20191019,8770,7263
20191020,9050,7508
20191021,7356,6173
20191022,7695,6319
20191023,7792,6605
20191024,8140,6889
20191025,9677,7655
20191026,10056,8343
20191027,9383,7686
20191028,7444,6330
20191029,7071,5830
20191030,7167,6177
20191031,7275,6125
20191101,9051,7442
20191102,9179,8154
20191103,9273,7794
20191104,7689,6373
20191105,7818,6433
20191106,7706,6630
20191107,7820,5966
20191108,9206,7730
20191109,9957,8471
20191110,9354,7778
20191111,8019,6863
20191112,7693,6432
20191113,7558,6334
20191114,7327,6193
20191115,9636,8013
20191116,9950,8452
20191117,9612,7951
20191118,7615,6307
20191119,7272,5995
20191120,7232,6943
20191121,7107,6074
20191122,8612,7562
20191123,8567,8647
20191124,8756,8311
20191125,7502,7176
20191126,7327,7003
20191127,7332,6873
20191128,7231,6475
20191129,9280,8724
20191130,8741,8589
20191201,8903,8515
20191202,7094,6914
20191203,7737,7090
20191204,7431,6998
20191205,6956,6382
20191206,8289,7596
20191207,7695,7823
20191208,8971,8823
20191209,7955,7571
20191210,7746,7205
20191211,7510,7012
20191212,7919,7337
20191213,9933,8914
20191214,10246,10315
20191215,10238,9566
20191216,8282,8021
20191217,8253,7650
20191218,7433,6817
20191219,6443,5481
20191220,8930,8132
20191221,8234,8445
20191222,8229,7971
20191223,7760,7699
20191224,8023,7418
20191225,8252,7685
20191226,7700,7179
20191227,9080,8653
20191228,9355,9017
20191229,6342,5963
20191230,7419,6995
20191231,9001,8104
20200101,7552,8154
20200102,7709,7240
20200103,8713,8086
20200104,8625,8407
20200105,8015,7355
20200106,7484,7124
20200107,7529,7401
20200108,7382,7030
20200109,7916,7405
20200110,9695,8944
20200111,8356,8012
20200112,7257,6637
20200113,7154,6913
20200114,7744,7102
20200115,6155,6775
20200116,8447,7936
20200117,7965,7454
20200118,7634,7280
20200119,6923,6636
20200120,7889,7302
20200121,8248,7650
20200122,7840,7859
20200123,6009,6158
20200124,4827,5694
20200125,8749,7894
20200126,7832,7367
20200127,8688,8039
20200128,8107,8206
20200129,7093,6639
20200130,7138,6668
20200131,7980,7600
20200201,6499,6593
20200202,6736,6422
20200203,7046,6658
20200204,6693,6260
20200205,6393,5827
20200206,6576,5939
20200207,6381,5139
20200208,4586,4332
20200209,4446,4292
20200210,6180,5795
20200211,5999,5591
20200212,6562,5875
20200213,6172,5674
20200214,6892,6184
20200215,6012,5467
20200216,4205,4045
20200217,5489,5534
20200218,5952,5603
20200219,6360,5875
20200220,6347,5709
20200221,6873,6428
20200222,5184,5109
20200223,4841,4504
20200224,6525,6220
20200225,6775,6237
20200226,6426,5832
20200227,6899,6419
20200228,6312,5790
20200229,5747,5442
20200301,5160,5098
20200302,6129,5984
20200303,6130,5607
20200304,5837,5448
20200305,6032,5552
20200306,7257,6676
20200307,5581,5376
20200308,5261,5085
20200309,6443,5855
20200310,5870,5413
20200311,6411,6098
20200312,6221,5586
20200313,7041,6276
20200314,4855,4776
20200315,5852,5632
20200316,6300,6097
20200317,6189,5678
20200318,6011,5702
20200319,5749,5265
20200320,6941,6347
