日期,進站人數,離站人數
20191214,43287,46734
20191215,55006,57189
20191216,24492,23599
20191217,19226,19251
20191218,19103,19123
20191219,19599,19480
20191220,31999,30074
20191221,37965,38926
20191222,43552,46535
20191223,23856,23202
20191224,20395,20064
20191225,21302,21196
20191226,20886,20871
20191227,32053,29311
20191228,36000,37141
20191229,33180,34450
20191230,22374,21117
20191231,28209,31140
20200101,36979,34662
20200102,20531,19501
20200103,24174,23899
20200104,27263,27049
20200105,31171,31739
20200106,19300,18871
20200107,17290,17243
20200108,18033,17655
20200109,21199,19427
20200110,36046,29690
20200111,35003,36670
20200112,40580,45367
20200113,23765,23373
20200114,20396,20422
20200115,20722,20104
20200116,24043,23244
20200117,25540,26911
20200118,29494,30546
20200119,34457,33729
20200120,24133,23390
20200121,24189,24008
20200122,29667,28417
20200123,33020,28301
20200124,27648,24819
20200125,32986,36898
20200126,33090,33854
20200127,36704,40201
20200128,32617,35109
20200129,28128,29831
20200130,21908,22384
20200131,23181,24406
20200201,23715,23731
20200202,25645,25534
20200203,19713,19894
20200204,17787,17911
20200205,18450,18744
20200206,19858,20563
20200207,24481,25734
20200208,28110,30002
20200209,32445,32852
20200210,22459,21773
20200211,19814,20504
20200212,21011,21324
20200213,19496,19652
20200214,23876,25505
20200215,27322,29800
20200216,34266,33224
20200217,20067,19762
20200218,17980,18281
20200219,18786,19328
20200220,19355,19685
20200221,24036,25419
20200222,27900,29565
20200223,30952,30358
20200224,18246,17997
20200225,15821,16008
20200226,16436,16247
20200227,24300,24256
20200228,25971,26537
20200229,23942,24077
20200301,27173,30834
20200302,16841,16404
20200303,13950,13955
20200304,13918,13615
20200305,14158,13896
20200306,24360,22648
20200307,21992,21868
20200308,25697,27672
20200309,16305,16327
20200310,13873,13774
20200311,14820,14770
20200312,15486,15120
20200313,25895,23677
20200314,23268,24597
20200315,31471,33295
20200316,17134,16909
20200317,14585,14379
20200318,14014,13609
20200319,14120,13675
20200320,23648,22002
20200321,19270,19451
20200322,22589,24237
20200323,14862,14990
20200324,12860,12888
20200325,12982,12668
20200326,13579,13138
20200327,21415,19389
20200328,17160,16314
20200329,19166,19061
20200330,14862,14308
20200331,15279,13833
20200401,23383,21045
20200402,19062,17532
20200403,17683,16683
20200404,15087,15768
20200405,19225,26360
20200406,15452,16283
20200407,12154,11924
20200408,11837,11576
20200409,12243,11741
20200410,19125,18177
20200411,16580,17102
20200412,21139,21348
20200413,13637,13601
20200414,11952,11709
20200415,12467,12256
20200416,13294,12779
20200417,22180,21144
20200418,19109,19468
20200419,23113,23777
20200420,14139,14365
20200421,11796,11698
20200422,11870,11624
20200423,12250,11701
20200424,18843,17890
20200425,14738,15100
20200426,17429,18062
20200427,13490,13743
20200428,12518,11933
20200429,12065,11772
20200430,15394,16123
20200501,23090,21022
20200502,17398,17186
20200503,21282,22993
20200504,14311,14476
20200505,12013,12777
20200506,13042,13134
20200507,14446,13833
20200508,27033,23112
20200509,22749,21405
20200510,24638,29872
20200511,16188,17347
20200512,13081,13303
20200513,13665,13717
20200514,14320,14179
20200515,24139,23223
20200516,21406,22270
20200517,25885,26661
20200518,15367,15201
20200519,12514,12326
20200520,13410,13142
20200521,13725,13322
20200522,21724,20275
20200523,20157,22886
20200524,34091,34272
20200525,16708,15835
20200526,13188,13262
20200527,13006,12716
20200528,13987,13525
20200529,24185,22854
20200530,24125,24525
20200531,27530,29240
20200601,16190,16158
20200602,13868,13773
20200603,14167,13945
20200604,15101,14572
20200605,25429,23966
20200606,26814,27180
20200607,28458,31072
20200608,17044,16750
20200609,14239,14334
20200610,15184,15527
20200611,17000,16776
20200612,25575,25256
20200613,28574,31483
20200614,35539,36083
20200615,20076,18853
20200616,17264,17461
20200617,16076,16146
20200618,16418,16428
20200619,20751,20782
20200620,23450,24713
20200621,30855,30061
20200622,18787,18395
20200623,17271,17351
20200624,28379,26266
20200625,30418,29382
20200626,30574,31520
20200627,32478,34492
20200628,33336,35656
20200629,20889,20706
20200630,17590,17511
20200701,17271,17211
20200702,16894,16659
20200703,21818,22497
20200704,24151,24204
20200705,26955,26793
20200706,19821,19662
20200707,18245,18428
20200708,18636,19260
20200709,19464,19194
20200710,24419,25731
20200711,28967,32275
20200712,37182,36143
20200713,21534,21012
20200714,22323,22739
20200715,23307,23180
20200716,22456,22491
20200717,27470,28797
20200718,31878,33144
20200719,37498,37527
20200720,23117,22658
20200721,20549,20277
20200722,21466,21777
20200723,21417,21384
20200724,25879,28226
20200725,30208,31497
20200726,33305,33412
20200727,22698,21343
20200728,19462,20014
20200729,20518,20923
20200730,20348,20488
20200731,25908,26945
20200801,28432,29727
20200802,30273,30225
20200803,19190,18673
20200804,17378,17615
20200805,19585,19480
20200806,19931,20011
20200807,27156,26877
20200808,26930,26707
20200809,31877,34833
20200810,22655,22183
20200811,19163,19764
20200812,20683,20900
20200813,21495,21944
20200814,27656,28649
20200815,33389,36393
20200816,43009,43270
20200817,25195,23476
20200818,21353,21915
20200819,21690,21174
20200820,21825,22175
20200821,27382,28534
20200822,30106,31141
20200823,34916,35373
20200824,23980,23382
20200825,21577,22457
20200826,21494,21728
20200827,21415,21186
20200828,24933,25934
